datetime;identity;anchor_mac_address;movement_vector;anchor_distances_A1;anchor_distances_A2;anchor_az_angles_A1;anchor_az_angles_A2;anchor_el_angles_A1;anchor_el_angles_A2
2024-01-11T12:54:43.168706412UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;0;518;153;-7680;-5712;-4608;5650
2024-01-11T12:54:48.209111427UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;3;518;169;-6626;1417;5027;-7458
2024-01-11T12:54:51.416848226UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;28;419;125;-6568;-5739;3289;7166
2024-01-11T12:54:51.556605456UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;24;419;130;-6568;41;3289;4002
2024-01-11T12:54:51.848955555UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;25;395;130;-6025;41;3738;4002
2024-01-11T12:54:52.274762489UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;25;395;129;-6025;2295;3738;1540
2024-01-11T12:54:52.710685315UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;29;372;129;-5696;2295;3308;1540
2024-01-11T12:54:53.140933385UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;45;372;139;-5696;3014;3308;855
2024-01-11T12:54:53.570210445UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;52;347;139;-5509;3014;3842;855
2024-01-11T12:54:54.000361898UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;55;347;130;-5509;5264;3842;-3083
2024-01-11T12:54:54.438472426UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;48;323;130;-5119;5264;2623;-3083
2024-01-11T12:54:54.869020397UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;44;323;141;-5119;6426;2623;-1192
2024-01-11T12:54:55.291700494UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;35;290;141;-5829;6426;1438;-1192
2024-01-11T12:54:55.719250328UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;27;290;164;-5829;7035;1438;631
2024-01-11T12:54:56.148647598UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;20;253;164;-3352;7035;1045;631
2024-01-11T12:54:56.579498127UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;17;253;182;-3352;445;1045;3182
2024-01-11T12:55:00.206545804UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;43;165;272;-5208;-3119;-241;1906
2024-01-11T12:55:00.286334941UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;40;143;272;-5739;-3119;2817;1906
2024-01-11T12:55:00.640731819UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;36;143;299;-5739;-1406;2817;1177
2024-01-11T12:55:01.075488366UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;38;145;299;336;-1406;5077;1177
2024-01-11T12:55:01.502677566UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;37;145;349;336;168;5077;762
2024-01-11T12:55:01.938869455UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;53;150;349;6;168;4519;762
2024-01-11T12:55:02.367191699UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;65;150;379;6;-2156;4519;807
2024-01-11T12:55:02.793521505UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;71;144;379;3555;-2156;3394;807
2024-01-11T12:55:03.224089941UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;73;144;420;3555;32;3394;575
2024-01-11T12:55:03.653665649UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;69;156;420;3828;32;2439;575
2024-01-11T12:55:04.095032074UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;44;156;448;3828;3848;2439;640
2024-01-11T12:55:04.520261022UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;42;181;448;941;3848;1711;640
2024-01-11T12:55:04.952520952UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;30;181;514;941;-716;1711;-3520
2024-01-11T12:55:05.381790923UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;27;204;514;4310;-716;173;-3520
2024-01-11T12:55:05.812491914UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;21;204;546;4310;-2669;173;-1325
2024-01-11T12:55:06.235782903UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;12;222;546;-1685;-2669;-292;-1325
2024-01-11T12:55:06.667575062UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;9;222;561;-1685;-3316;-292;-262
2024-01-11T12:55:10.376828815UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;25;318;629;4724;-5704;523;3424
2024-01-11T12:55:10.809706047UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;26;326;629;5396;-5704;1116;3424
2024-01-11T12:55:10.998362226UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;35;326;644;5396;-5723;1116;2267
2024-01-11T12:55:11.236820344UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;43;339;644;3884;-5723;1495;2267
2024-01-11T12:55:11.659331055UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;53;339;655;3884;-6000;1495;1768
2024-01-11T12:55:12.085888153UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;58;346;655;809;-6000;1210;1768
2024-01-11T12:55:12.514023513UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;55;346;675;809;-5428;1210;1340
2024-01-11T12:55:12.943371711UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;58;361;675;1607;-5428;2034;1340
2024-01-11T12:55:13.385185850UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;53;361;704;1607;-5340;2034;1167
2024-01-11T12:55:13.818125582UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;49;383;704;3652;-5340;4857;1167
2024-01-11T12:55:14.246121042UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;46;383;745;3652;-4972;4857;4423
2024-01-11T12:55:14.671215243UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;39;407;745;5087;-4972;2451;4423
2024-01-11T12:55:15.105027702UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;26;407;769;5087;-4489;2451;2614
2024-01-11T12:55:15.526871782UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;20;435;769;5768;-4489;2204;2614
2024-01-11T12:55:15.971938332UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;12;435;799;5768;-3898;2204;1677
2024-01-11T12:55:16.403080733UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;5;452;799;6026;-3898;1671;1677
2024-01-11T12:55:17.477820706UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;67;452;805;6026;-3496;1671;-6129
2024-01-11T12:55:17.541263662UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;65;466;805;6670;-3496;1308;-6129
2024-01-11T12:55:18.262068231UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;93;466;805;6670;-3885;1308;-5498
2024-01-11T12:55:18.973588124UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;93;470;805;6837;-3885;934;-5498
2024-01-11T12:55:19.684043306UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;58;470;817;6837;-3635;934;-6304
2024-01-11T12:55:20.408839104UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:41:8A:AF;129;470;817;6833;-3635;-254;-6304
2024-01-11T12:55:21.118566353UTC;goodletbtb5h2xetyooifcl4qk4sfxfgrahpv2z73ylk7z5uq5pzrgad.onion;00:60:37:D4:C5:8D;105;470;935;6833;-4174;-254;-2709
